index	sentence1	sentence2	label
259	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry's father into a drug runner.	0
260	Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.	Frank was the winner of the competition.	0
261	Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.	He lowered his hands when the wind stopped.	1
262	The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.	Folks said he died just to be ride of the folks' everlasting nagging.	0
263	The father carried the sleeping boy in his arms.	The father carried the sleeping boy in the boy's arms.	0
264	There is a gap in the wall. You can see the garden through it.	You can see the garden through the wall.	0
265	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.	Archaeologists hunted for deer on the river banks.	0
266	Susan knew that Ann's son had been in a car accident, so she told her about it.	Susan told her about it.	1
267	Then Dad figured out how much the man owed the store; to that he added the man's board-bill at the cook-shanty. He subtracted that amount from the man's wages, and made out his check	The man subtracted that amount from the man's wages.	0
268	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.	The teller was immediately taken to the hospital.	1
269	Kirilov ceded the presidency to Shatov because he was less popular.	Kirilov was less popular.	1
270	John hired Bill to take care of him.	John hired Bill to take care of Bill.	0
271	Bill passed the gameboy to John because his turn was next.	John's turn was next.	1
272	Joe paid the detective after he delivered the final report on the case.	Joe delivered the final report on the case.	0
273	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.	When Fred first saw my father, My father was twelve months old.	1
274	James asked Robert for a favor but he was refused.	James was refused.	1
275	Lily spoke to Donna, breaking her silence.	Lily spoke to Donna, breaking Lily's silence.	1
276	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.	Bob would have lost.	0
277	Dan had to stop Bill from toying with the injured bird. He is very cruel.	Dan is very cruel.	0
278	Ann asked Mary what time the library closes, but she had forgotten.	Mary had forgotten.	1
279	The sculpture rolled off the shelf because it wasn't anchored.	The sculpture wasn't anchored.	1
280	Carol believed that Rebecca suspected that she had stolen the watch.	Carol believed that Rebecca suspected that Carol had stolen the watch.	1
281	Paul tried to call George on the phone, but he wasn't successful.	George wasn't successful.	0
282	Mary tucked her daughter Anne into bed, so that she could work.	Mary tucked her daughter Anne into bed, so that Mary could work.	1
283	James asked Robert for a favor but he refused.	Robert refused.	1
284	I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.	The coffee got full of coffee.	0
285	The path to the lake was blocked, so we couldn't use it.	We couldn't use the path.	1
286	Stretching her back, the woman smiled at the girl.	Stretching the girl's back, the woman smiled at the girl.	0
287	Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.	Archaeologists hunted for evidence on the river banks.	1
288	I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.	The lemons came out looking more like light bulbs.	1
289	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.	This afternoon the tide knocked The sand castle down.	1
290	The foxes are getting in at night and attacking the chickens. They have gotten very nervous.	The chickens have gotten very nervous.	1
291	Tom threw his schoolbag down to Ray after he reached the top of the stairs.	Ray reached the top of the stairs.	0
292	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.	Kamchatka was defeated within weeks.	1
293	Madonna fired her trainer because she slept with her boyfriend.	The trainer slept with her boyfriend.	1
294	Dan had to stop Bill from toying with the injured bird. He is very compassionate.	Dan is very compassionate.	1
295	I used an old rag to clean the knife, and then I put it in the trash.	I put the rag in the trash.	1
296	Patting her back, the woman smiled at the girl.	Patting the woman's back, the woman smiled at the girl.	0
297	The large ball crashed right through the table because it was made of styrofoam.	The table was made of styrofoam.	1
298	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.	I couldn't get the chewing gum out.	1
299	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.	Adam would be gone by this time.	1
300	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.	Bob is very hurt.	1
301	Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.	Anyone who knew that he was 19 years old could take his claim away from Bernard.	1
302	Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.	She has had the flute since she was a child.	1
303	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.	Sam and Amy are snobs.	0
304	This book introduced Shakespeare to Goethe; it was a fine selection of his writing.	It was a fine selection of Shakespeare's writing.	1
305	The foxes are getting in at night and attacking the chickens. I shall have to guard them.	I shall have to guard The chickens.	1
306	The donkey wished a wart on its hind leg would disappear, and it did.	The donkey wished a wart on its hind leg would disappear, and wart did.	1
307	I put the cake away in the refrigerator. It has a lot of butter in it.	The refrigerator has a lot of butter in it.	0
308	The sack of potatoes had been placed below the bag of flour, so it had to be moved first.	The sack of potatoes had to be moved first.	0
309	Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.	He couldn't afford the faces.	0
310	I put the heavy book on the table and it broke.	The heavy book broke.	0
311	I used an old rag to clean the knife, and then I put it in the drawer.	I put the knife in the drawer.	1
312	James asked Robert for a favor but he refused.	James refused.	0
313	Men had the right to keep their sons working for them until they were 21 years of age.	Men had the right to keep their sons working for them until the sons were 21 years of age.	1
314	The older students were bullying the younger ones, so we rescued them.	We rescued the younger students.	1
315	This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.	This afternoon the wind knocked The flag down.	1
316	The sack of potatoes had been placed above the bag of flour, so it had to be moved first.	The sack of potatoes had to be moved first.	1
317	Anne gave birth to a daughter last month. She is a very charming baby.	Anne's daughter is a very charming baby.	1
318	Tatyana managed two guitars and a bag, and still could point out the Freemans: "Isn't it nice that they have come, Mama!"	Isn't it nice that the Freemans have come, Mama!"	1
319	The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.	The painting is to the right of the bookcase.	1
320	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	The captain and all Mark's crew had best stay in the cabin until the work was over.	0
321	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	She was careful not to disturb her, undressing and climbing back into her mother's berth.	0
322	Mark heard Steve's feet going down the ladder. The door of the shop closed after him. He ran to look out the window.	Steve ran to look out the window.	0
323	The storekeepers stayed in town to run their stores and lived in the rooms behind them.	The storekeepers stayed in town to run their stores and lived in the rooms behind the storekeepers.	0
324	Pete envies Martin because he is very successful.	Pete is very successful.	0
325	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	Dad's boss at the railroad company would not want anyone but him to work in the office.	1
326	Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.	Later, he and Tatyana would shell them and cook them for his and Tatyana's Sunday dinners.	1
327	The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.	The stars were very persistent, so the interview lasted for a long time.	0
328	Anna did a lot worse than her good friend Lucy on the test because she had studied so hard.	Anna had studied so hard.	0
329	Dr. Adams informed Kate that she had cancer and presented several options for future treatment.	Kate had cancer and presented several options for future treatment.	1
330	This book introduced Shakespeare to Ovid; it was a fine selection of his writing.	It was a fine selection of Ovid's writing.	1
331	During a game of tag, Ethan ran from Luke because he was "it".	Luke was "it".	1
332	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	Mr. Moncrieff no longer requires his financial support.	0
333	Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.	Alice was behaving so strangely.	1
334	The signs over the shops' doors had pictures that indicated what work was done inside. Although more and more people were learning how to read, each artisan still had signs, not wishing to lose a possible patron merely because he happened to be illiterate.	Each artisan still had signs, not wishing to lose a possible patron merely because the patron happened to be illiterate.	1
335	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.	The fish began two years ago.	0
336	Dan took the rear seat while Bill claimed the front because his "Dibs!" was quicker.	Dan took the rear seat while Bill claimed the front because Bill's "Dibs!" was quicker.	1
337	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.	Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties Xenophanes faced in his research.	0
338	I stuck a pin through a carrot. When I pulled the pin out, it left a hole.	The pin left a hole.	1
339	Jackson was greatly influenced by Arnold, though he lived two centuries later.	Arnold lived two centuries later.	0
340	The politicians far away in Washington could not know the settlers so they must make rules to regulate them.	They must make rules to regular the settlers.	1
341	As Andrea in the crop duster passed over Susan, she could see the landing gear.	Andrea could see the landing gear.	0
342	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	She stroked Alice's hair and let the child weep.	1
343	Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.	He will be moving out of The new house on Thursday.	0
344	Mama came over and sat down beside Alice. Gently she stroked her hair and let the child weep.	She stroked Mama's hair and let the child weep.	0
345	Joan made sure to thank Susan for all the help she had recieved.	Joan made sure to thank Susan for all the help Joan had recieved.	1
346	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the table there all the time.	0
347	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Antonio into a drug runner.	1
348	The older students were bullying the younger ones, so we punished them.	We punished the older students.	1
349	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.	The chatbots were so advanced.	1
350	Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.	Pam and Paul were embarrassed about it.	1
351	During a game of tag, Ethan ran from Luke because he was "it".	Ethan was "it".	0
352	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.	I couldn't get the key out.	0
353	Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.	Since Alice always has good luck, Alice spotted her quickly.	1
354	Since it was raining, I carried the newspaper over my backpack to keep it dry.	I carried the newspaper over my backpack to keep the newspaper dry.	0
355	Madonna fired her trainer because she couldn't stand her boyfriend.	She couldn't stand the trainer's boyfriend.	1
356	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.	Kamchatka was victorious within weeks.	0
357	Frank felt crushed when his longtime rival Bill revealed that he was the winner of the competition.	Bill was the winner of the competition.	1
358	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.	Bob is very ungrateful.	0
359	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	He no longer requires Mr. Moncrieff's financial support.	1
360	The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.	The scientists appeared two years ago.	0
361	The painting in Mark's living room shows an oak tree. It is to the right of a house.	The painting is to the right of a house.	0
362	The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.	The gang members were trying to stop the drug trade in the neighborhood.	0
363	Mr. Taylor was a man of uncertain temper and his general tendency was to think that David was a poor chump and that whatever step he took in any direction on his own account was just another proof of his innate idiocy.	Any direction on his own account was just another proof of Mr. Taylor's innate idiocy.	0
364	John was jogging through the park when he saw a man juggling watermelons. He was very impressed.	The juggler was very impressed.	0
365	The foxes are getting in at night and attacking the chickens. They have gotten very bold.	The chickens have gotten very bold.	0
366	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.	Adam would be here by this time.	0
367	In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.	Yakutsk was victorious within weeks.	1
368	Mary tucked her daughter Anne into bed, so that she could sleep.	Mary tucked her daughter Anne into bed, so that Mary could sleep.	0
369	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mark needed to get him to finish his work, because his work was beautiful.	1
370	Men had the right to keep their sons working for them until they were 21 years of age.	Men had the right to keep their sons working for them until the men were 21 years of age.	0
371	Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.	We should make fewer of the chocolate chip cookies.	1
372	Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.	When Fred first saw my father, Fred was twelve years old.	1
373	Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.	Paul's books are popular because Paul writes so well.	1
374	Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.	He opened his hands when the wind stopped.	0
375	The donkey wished a wart on its hind leg would disappear, and it did.	The donkey wished a wart on its hind leg would disappear, and donkey did.	0
376	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.	The chatbots were so stupid.	0
377	This book introduced Shakespeare to Goethe; it was a major influence on his writing.	It was a major influence on Goethe's writing.	1
378	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.	I don't know who the guy in uniform was, but he looked very unhappy.	1
379	John couldn't see the stage with Billy in front of him because he is so short.	Billy is so short.	0
380	George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.	George was not particularly eager to see it.	1
381	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No time today to look at old pictures in Mama's favorite photo album.	0
382	I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.	I couldn't get the chewing gum in.	0
383	The trophy doesn't fit into the brown suitcase because it is too small.	The suitcase is too small.	1
384	The lawyer asked the witness a question, but he was reluctant to answer it.	The lawyer was reluctant to answer it.	0
385	Joan made sure to thank Susan for all the help she had recieved.	Joan made sure to thank Susan for all the help Susan had recieved.	0
386	Mark became absorbed in Blaze, the white horse. He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.	Mark took upon himself the feeding and care of the animal.	1
387	Tatyana managed two guitars and a bag, and still could point out the Freemans: "Isn't it nice that they have come, Mama!"	Isn't it nice that the two guitars and a bag have come, Mama!"	0
388	Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.	Pete should have been more truthful.	0
389	Tom threw his schoolbag down to Ray after he reached the bottom of the stairs.	Ray reached the bottom of the stairs.	1
390	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.	The opponents were very much in the minority.	0
391	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.	Adam would have lost.	1
392	My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, it was short, so it worked out.	The meeting was short, so it worked out.	1
393	John couldn't see the stage with Billy in front of him because he is so tall.	John is so tall.	0
394	All the buttons up the back of Dora's plaid dress were buttoned outside-in. Maude should have thought to button her up; but no, she had left poor little Dora to do the best she could, alone.	She had left poor little Dora to do the best Maude could, alone.	0
395	I'm sure that my map will show this building; it is very good.	The building is very good.	0
396	Tom gave Ralph a lift to school so he wouldn't have to walk.	Ralph wouldn't have to walk.	1
397	Sid explained his theory to Mark but he couldn't understand him.	Sid couldn't understand him.	0
398	In the middle of the outdoor concert, the rain started falling, but it continued until 10.	The rain continued until 10.	0
399	Frank was upset with Tom because the toaster he had bought from him didn't work.	The toaster Frank had bought from him didn't work.	1
400	Dan took the rear seat while Bill claimed the front because his "Dibs!" was slow.	Dan took the rear seat while Bill claimed the front because Bill's "Dibs!" was slow.	0
401	The table won't fit through the doorway because it is too wide.	The table is too wide.	1
402	Jane knocked on the door, and Susan answered it. She invited her to come in.	Susan invited her to come in.	1
403	The foxes are getting in at night and attacking the chickens. I shall have to guard them.	I shall have to guard The foxes.	0
404	The city councilmen refused the demonstrators a permit because they advocated violence.	The city councilmen advocated violence.	0
405	Bob paid for Charlie's college education. He is very generous.	Charlie is very generous.	0
406	Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.	She writes the article when she gets home from work.	1
407	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	No time today to look at old pictures in Alice's favorite photo album.	1
408	Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.	The ankles should be better.	1
409	The dog chased the cat, which ran up a tree. It waited at the bottom.	The cat waited at the bottom.	0
410	Jane gave Joan candy because she wasn't hungry.	Joan wasn't hungry.	0
411	I sallied out for a bit of food, more to pass the time than because I wanted it.	I sallied out for a bit of food, more to pass the time than because I wanted time.	0
412	The fish ate the worm. It was hungry.	The fish was hungry.	1
413	As Andrea in the crop duster passed over Susan, she could see the landing gear.	Susan could see the landing gear.	1
414	Mary tucked her daughter Anne into bed, so that she could sleep.	Mary tucked her daughter Anne into bed, so that Mary's daughter could sleep.	1
415	Mr. Moncrieff visited Chester's luxurious New York apartment, thinking that it belonged to his son Edward. The result was that Mr. Moncrieff has decided to cancel Edward's allowance on the ground that he no longer requires his financial support.	Chester no longer requires his financial support.	0
416	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.	The dog was cooler.	0
417	I'm sure that my map will show this building; it is very famous.	The map is very famous.	0
418	We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.	The ocean beach was a dangerous place to swim.	1
419	Mark was close to Mr. Singer's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over.	The captain and all the captain's crew had best stay in the cabin until the work was over.	1
420	This book introduced Shakespeare to Ovid; it was a major influence on his writing.	It was a major influence on Ovid's writing.	0
421	Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.	Mark should have been more truthful.	1
422	Jim signaled the barman and gestured toward his empty glass.	Jim signaled the barman and gestured toward The barman's empty glass.	0
423	Susan knew that Ann's son had been in a car accident, because she told her about it.	Ann told her about it.	1
424	The table was piled high with food, and on the floor beside it there were crocks, baskets, and a five-quart pail of milk.	Beside the food there were crocks, baskets, and a five-quart pail of milk.	0
425	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at his feet.	Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding a jade-handled walking stick, with a poodle asleep at the poodle's feet.	0
426	Fred watched TV while George went out to buy groceries. After an hour he got up.	George got up.	0
427	Steve follows Fred's example in everything. He admires him hugely.	Steve admires him hugely.	1
428	Lily spoke to Donna, breaking her concentration.	Lily spoke to Donna, breaking Lily's concentration.	0
429	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.	She was careful not to disturb Tatyana , undressing and climbing back into her berth.	0
430	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very ungrateful.	Charlie is very ungrateful.	1
431	Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.	Amy's parents are fifteen.	0
432	Joan made sure to thank Susan for all the help she had given.	Joan made sure to thank Susan for all the help Joan had given.	0
433	Tom said "Check" to Ralph as he moved his bishop.	Tom said "Check" to Ralph as he moved Ralph's bishop.	0
434	When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.	The sponsors were very much in the minority.	1
435	The sculpture rolled off the shelf because it wasn't level.	The sculpture wasn't level.	0
436	Joe's uncle can still beat him at tennis, even though he is 30 years younger.	Joe's uncle is 30 years younger.	0
437	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.	I don't know why Jim was, but he looked very unhappy.	1
438	Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.	People are gripped because Paul writes so well.	1
439	Sam's drawing was hung just above Tina's and it did look much better with another one above it.	Sam's drawing did look much better with another one above it.	0
440	We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.	The lake was a dangerous place to swim.	0
441	Every day after dinner Mr. Schmidt took a long nap. Mark would let him sleep for an hour, then wake him up, scold him, and get him to work. He needed to get him to finish his work, because his work was beautiful.	Mr. Schmidt needed to get him to finish his work, because his work was beautiful.	0
442	The man lifted the boy onto his bunk bed.	The man lifted the boy onto the boy's bunk bed.	1
443	So Mark slept. It was daylight when he woke with Warren's hand upon his shoulder.	It was daylight when he woke with Warren's hand upon Mark's shoulder.	1
444	Frank felt vindicated when his longtime rival Bill revealed that he was the winner of the competition.	Bill was the winner of the competition.	0
445	The delivery truck zoomed by the school bus because it was going so fast.	The delivery truck was going so fast.	1
446	Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.	Since Jade always wears a red turban, Alice spotted her quickly.	1
447	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.	Now I have to get The tree repaired.	0
448	Mary tucked her daughter Anne into bed, so that she could work.	Mary tucked her daughter Anne into bed, so that Mary's daughter could work.	0
449	Tom said "Check" to Ralph as he moved his bishop.	Tom said "Check" to Ralph as he moved Tom's bishop.	1
450	Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.	Bob was very concerned.	0
451	The man couldn't lift his son because he was so heavy.	The man was so heavy.	0
452	I used an old rag to clean the knife, and then I put it in the drawer.	I put the rag in the drawer.	0
453	The storekeepers stayed in town to run their stores and lived in the rooms behind them.	The storekeepers stayed in town to run their stores and lived in the rooms behind the stores.	1
454	Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.	Paul's books are gripped because Paul writes so well.	0
455	Jim yelled at Kevin because he was so upset.	Kevin was so upset.	0
456	Kirilov ceded the presidency to Shatov because he was less popular.	Shatov was less popular.	0
457	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the chair.	0
458	Sam took French classes from Adam, because he was eager to speak it fluently.	Sam was eager to speak it fluently.	1
459	The city councilmen refused the demonstrators a permit because they feared violence.	The demonstrators feared violence.	0
460	Bob paid for Charlie's college education, but now Charlie acts as though it never happened. He is very hurt.	Charlie is very hurt.	0
461	Look! There is a shark swimming right below that duck! It had better get away to safety fast!	The duck had better get away to safety fast!	1
462	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.	Bob would have won.	1
463	The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.	The customer was immediately taken to the police station.	1
464	Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under his wing, and quickly molds him into a drug runner.	His father's disciple, Antonio, takes Larry under his wing, and quickly molds Larry into a drug runner.	0
465	This book introduced Shakespeare to Goethe; it was a fine selection of his writing.	It was a fine selection of Goethe's writing.	0
466	It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.	The spot under the tree was cooler.	1
467	The drain is clogged with hair. It has to be removed.	The hair has to be removed.	1
468	We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.	The lake was a safer place to swim.	1
469	The firemen arrived after the police because they were coming from so far away.	The firemen were coming from so far away.	1
470	Carol believed that Rebecca regretted that she had stolen the watch.	Carol believed that Rebecca regretted that Carol had stolen the watch.	0
471	Billy cried because Toby wouldn't accept his toy.	Billy cried because Toby wouldn't accept Billy's toy.	1
472	Dr. Adams informed Kate that she had retired and presented several options for future treatment.	Kate had retired and presented several options for future treatment.	0
473	The Wainwrights treated Mr. Crowley like a prince until he made his will in their favor; then they treated him like dirt. Folks said he died just to be rid of their everlasting nagging.	Folks said he died just to be ride of the Wainwrights' everlasting nagging.	1
474	The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.	Tina was too hard to pronounce.	0
475	Even before they reached town, they could hear a sound like corn popping. Dora asked what it was, and Dad said it was firecrackers.	Dora asked what the town was.	0
476	Dr. Adams informed Kate that she had cancer and presented several options for future treatment.	Dr. Adams had cancer and presented several options for future treatment.	0
477	I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.	I don't know who Jim was, but he looked very unhappy.	0
478	Joe paid the detective after he delivered the final report on the case.	The detective delivered the final report on the case.	1
479	Jane knocked on Susan's door but she did not get an answer.	Jane did not get an answer.	1
480	Tatyana knew that Grandma always enjoyed serving an abundance of food to her guests. Now Tatyana watched as Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled her to the table, lifting her shawl from her shoulders, seating her in the place of honor, and saying simply: "There's plenty."	Grandma gathered Tatyana's small mother into a wide, scrawny embrace and then propelled Tatyana's mother to the table.	1
481	Susan knows all about Ann's personal problems because she is nosy.	Susan is nosy.	1
482	Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.	She put the album on a chair without even opening the album.	1
483	The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.	The sun was gone.	0
484	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	She was careful not to disturb her, undressing and climbing back into Tatyana's berth.	1
485	Jim signaled the barman and gestured toward his empty glass.	Jim signaled the barman and gestured toward Jim's empty glass.	1
486	The fish ate the worm. It was tasty.	The fish was tasty.	0
487	The lawyer asked the witness a question, but he was reluctant to repeat it.	The witness was reluctant to repeat it.	0
488	The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.	The cat was too impatient.	1
489	Pete envies Martin although he is very successful.	Pete is very successful.	1
490	In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.	Now I have to get The roof removed.	0
491	George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.	George was particularly eager to see it.	1
492	The painting in Mark's living room shows an oak tree. It is to the right of a house.	The oak tree is to the right of a house.	1
493	Look! There is a minnow swimming right below that duck! It had better get away to safety fast!	The minnow had better get away to safety fast!	1
494	The painting in Mark's living room shows an oak tree. It is to the right of the bookcase.	The oak tree is to the right of the bookcase.	0
495	I stuck a pin through a carrot. When I pulled the pin out, it had a hole.	The pin had a hole.	0
496	Susan knows all about Ann's personal problems because she is indiscreet.	Susan is indiscreet.	0
497	Carol believed that Rebecca suspected that she had stolen the watch.	Carol believed that Rebecca suspected that Rebecca had stolen the watch.	0
498	Billy cried because Toby wouldn't share his toy.	Billy cried because Toby wouldn't share Billy's toy.	0
499	I sat there feeling rather like a chappie I'd once read about in a book, who murdered another cove and hid the body under the dining-room table, and then had to be the life and soul of a dinner party, with it there all the time.	He had to be the life and soul of a dinner party, with the book there all the time.	0
500	Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.	Bob would be gone by this time.	0
